nodeID,networkCanvasEgoUUID,networkCanvasUUID,Close,Drugs,Sex,Cords_x,Cords_y,Age,ContactFreq,RelStrength,Serious,Gender_Female,Gender_Male,Gender_Gender_non-conforming,Gender_Genderqueer,Gender_Non-binary,Gender_Agender,Gender_Dont_know,Gender_Not_listed,Hispanic_Hispanic_or_Latino,Hispanic_Not_Hispanic_or_Latino,Race_Black_African_American,Race_American_Indian_or_Alaskan_Native,Race_Asian,Race_White,Race_Native_Hawaiian_or_Other_Pacific_Islander,Race_Other,SexOrient_Bisexual,SexOrient_Heterosexual_Straight,SexOrient_Gay_Lesbian,SexOrient_Queer,SexOrient_Not_listed,SexOrient_Dont_want_to_answer,SexOrient_Dont_know,MarijuanaFreq,CocaineFreq,HeroinFreq,PainkillerFreq,PoppersFreq,PlaceMet_Bar_Club,PlaceMet_Online_Mobile_App,PlaceMet_School,PlaceMet_Work,PlaceMet_Somewhere_Else,AnalSex_Anal_sex,AnalSex_No_anal_sex,CondomCat_Condomless_anal_sex,CondomCat_No_condomless_anal_sex,name,FirstSex,LastSex,OngoingPartner
11,2944b829-ef9d-446e-b592-6fbf57657743,7c1bd340-a295-493b-91b7-d2e4c7f72c25,false,true,true,0.773942,0.58419,77,Never,Very_close,true,false,false,true,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,true,false,false,Not_in_the_past_six_months,Daily,Weekly,Daily,Weekly,false,false,false,true,false,false,true,true,false,Stewart Cole,2023-07-17,2023-07-17,false
12,2944b829-ef9d-446e-b592-6fbf57657743,54086684-e450-4e10-879b-8aaaf76e460e,false,true,false,0.585822,0.618847,58,Daily,Not_close_at_all,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,true,false,true,false,false,false,false,false,false,Less_Than_Weekly,Daily,Weekly,Weekly,Less_than_weekly,false,true,false,false,false,false,true,false,true,Ray Murphy,2023-07-17,2023-07-16,false
13,2944b829-ef9d-446e-b592-6fbf57657743,57b1fef5-add2-4a7a-8597-63df45152a05,false,false,true,0.11172,0.405301,45,Never,Not_close_at_all,true,false,false,true,false,false,false,false,false,true,false,false,true,false,false,false,false,false,false,false,false,false,true,false,Less_Than_Weekly,Weekly,Weekly,Less_than_weekly,Weekly,false,false,true,false,false,true,false,false,true,Edgar Brown,2023-07-17,2023-07-16,false
14,2944b829-ef9d-446e-b592-6fbf57657743,df0e53c1-8c65-48fb-85a4-f956066fdaf5,true,true,true,0.075896,0.459492,48,Weekly,Somewhat_close,false,false,false,true,false,false,false,false,false,false,true,false,false,false,true,false,false,false,true,false,false,false,false,false,Weekly,Daily,Less_than_weekly,Less_than_weekly,Less_than_weekly,false,true,false,false,false,false,true,true,false,Jody Larkin,2023-07-16,2023-07-17,false
15,2944b829-ef9d-446e-b592-6fbf57657743,42e4ea96-f80d-4266-a007-6e7e4c2b80b9,false,false,true,0.068861,0.132641,66,Daily,Not_close_at_all,false,false,false,false,false,false,false,true,false,true,false,true,false,false,false,false,false,false,false,false,false,true,false,false,Less_Than_Weekly,Less_than_weekly,Less_than_weekly,Weekly,Daily,false,false,false,false,true,true,false,false,true,Emilio MacGyver,2023-07-17,2023-07-17,true
16,2944b829-ef9d-446e-b592-6fbf57657743,46769c71-82b9-451f-aacf-c91eacd0a827,true,true,false,0.090073,0.207408,57,Less_than_weekly,Somewhat_close,true,false,false,false,true,false,false,false,false,false,true,false,false,false,false,true,false,false,false,false,false,true,false,false,Not_in_the_past_six_months,Less_than_weekly,Less_than_weekly,Daily,Weekly,false,true,false,false,false,true,false,false,true,Melvin Schaefer,2023-07-17,2023-07-17,false
17,2944b829-ef9d-446e-b592-6fbf57657743,d7f4ce8d-78a6-43fe-9ad5-7a25617d40ac,false,true,false,0.049783,0.883296,51,Weekly,Very_close,false,false,false,false,true,false,false,false,false,true,false,false,true,false,false,false,false,false,false,false,false,false,true,false,Not_in_the_past_six_months,Weekly,Less_than_weekly,Not_in_hte_past_6_months,Weekly,false,false,true,false,false,true,false,true,false,Iris Wiegand,2023-07-17,2023-07-17,false
18,2944b829-ef9d-446e-b592-6fbf57657743,82a6a9b9-046f-4d7b-bcfd-7208d62fa2f6,false,true,true,0.198809,0.765951,51,Weekly,Somewhat_close,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,true,false,false,false,true,false,false,false,false,Less_Than_Weekly,Daily,Not_in_the_past_6_months,Not_in_hte_past_6_months,Not_in_the_past_6_months,true,false,false,false,false,true,false,true,false,Ginger Kling,2023-07-17,2023-07-16,false
19,2944b829-ef9d-446e-b592-6fbf57657743,3619e66a-c1f3-42f1-a604-46cda589b420,true,true,false,0.523105,0.522253,71,Less_than_weekly,Very_close,false,false,false,false,false,false,true,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,true,Weekly,Weekly,Daily,Not_in_hte_past_6_months,Weekly,false,false,false,true,false,true,false,true,false,Cary Koepp,2023-07-17,2023-07-16,true
20,2944b829-ef9d-446e-b592-6fbf57657743,b1e950c4-b60e-4d5e-9546-4b8bb5b3c4db,false,true,false,0.038294,0.412486,77,Weekly,Not_close_at_all,true,false,false,true,false,false,false,false,false,false,true,false,false,false,true,false,false,false,false,false,false,false,true,false,Daily,Daily,Less_than_weekly,Weekly,Weekly,false,false,false,false,true,true,false,false,true,Wilbur Streich,2023-07-16,2023-07-16,false
